Company,Ticker
"Xin Fengming group co., LTD",603225.SS
"Shenzhen Kinwong Electronic Co.,Ltd.",603228.SS
"Zhejiang Ausun Pharmaceutical Co., Ltd.",603229.SS
"Inner Mongolia Xinhua Distribution Group Co.,LtD.",603230.SS
"DaShenLin Pharmaceutical Group Co., Ltd.",603233.SS
"Quectel Wireless Solutions Co.,Ltd.",603236.SS
"Hoshine Silicon Industry Co., Ltd.",603260.SS
"Beijing Yuanliu Hongyuan Electronic Technology Co.,Ltd.",603267.SS
Jingjin Equipment Inc.,603279.SS
"Hubei Jianghan New Materials Co., Ltd.",603281.SS
"Suzhou Secote Precision Electronic Co., Ltd.",603283.SS
"Huaqin Technology Co., Ltd.",603296.SS
"HANGCHA GROUP.,LTD.",603298.SS
"Zhejiang Huatie Emergency Equipment Science & Technology Co.,Ltd.",603300.SS
"Ningbo Xusheng Group Co., Ltd.",603305.SS
"Suzhou West Deane New Power Electric CO., LTD.",603312.SS
"SICHUAN TEWAY FOOD GROUP CO., LTD",603317.SS
"Sichuan Furong Technology Co., Ltd.",603327.SS
"Zhejiang Dingli Machinery Co.,Ltd",603338.SS
"Wencan Group Co.,Ltd.",603348.SS
"KINGCLEAN ELECTRIC CO.,LTD",603355.SS
"Anhui Transport Consulting & Design Institute Co.,Ltd.",603357.SS
"Wuxi Holyview Microelectronics Co., Ltd.",603375.SS
"Fujian Apex Software Co.,LTD",603383.SS
"Getein Biotech, Inc.",603387.SS
603393,603393.SS
"Anhui Genuine New Materials Co.,Ltd.",603429.SS
"Guizhou Sanli Pharmaceutical Co.,Ltd.",603439.SS
"G-bits Network Technology(Xiamen)Co., Ltd.",603444.SS
"ZHEJIANG JIUZHOU PHARMACEUTICAL CO.,LTD",603456.SS
"Bafang Electric（Suzhou）Co.,Ltd.",603489.SS
"China Kings Resources Group Co., Ltd.",603505.SS
"Opple Lighting Co.,Ltd.",603515.SS
"Juewei Food Co., Ltd.",603517.SS
"Aima Technology Group Co., Ltd",603529.SS
"Hexing Electrical Co.,Ltd",603556.SS
"Shanghai Zhonggu Logistics Co., Ltd.",603565.SS
"ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO.,LTD.",603568.SS
"Zhejiang Jiecang Linear Motion Technology Co., Ltd.",603583.SS
"Beijing GeoEnviron Engineering & Technology, Inc.",603588.SS
